month,method,component,contribution,active_exposure
2020-05-31,global_minimum_variance,active_net_return,0.00600419643554512,
2020-05-31,shrinkage_mean_variance,factor:MKT_RF,-0.005566940691769782,-0.23538276423564553
2020-05-31,shrinkage_mean_variance,factor:SMB,-0.0014887627488726891,0.09944524224683671
2020-05-31,shrinkage_mean_variance,factor:HML,-0.010295630267303952,-0.17106222572192098
2020-05-31,shrinkage_mean_variance,factor:RMW,0.0002421603776517707,-0.020078863097405183
2020-05-31,shrinkage_mean_variance,factor:CMA,-0.002138614372550391,-0.15575749245454712
2020-05-31,shrinkage_mean_variance,factor:MOM,0.0030617346723337264,-0.1670309809200396
2020-05-31,shrinkage_mean_variance,specific,0.022380282155819796,
2020-05-31,shrinkage_mean_variance,transaction_cost,-7.433112550046771e-05,
2020-05-31,shrinkage_mean_variance,active_net_return,0.0061198979998080116,
2020-05-31,maximum_sharpe_with_gmv_fallback,factor:MKT_RF,-0.0064815646392585025,-0.2740551203673167
2020-05-31,maximum_sharpe_with_gmv_fallback,factor:SMB,4.152638104965787e-05,-0.002773847630352563
2020-05-31,maximum_sharpe_with_gmv_fallback,factor:HML,-0.010815186225516202,-0.17969466456164113
2020-05-31,maximum_sharpe_with_gmv_fallback,factor:RMW,0.0002943695845428032,-0.024407818675334675
2020-05-31,maximum_sharpe_with_gmv_fallback,factor:CMA,-0.0030096091104744992,-0.21919293834953532
2020-05-31,maximum_sharpe_with_gmv_fallback,factor:MOM,0.0022886341265872935,-0.12485497407245165
2020-05-31,maximum_sharpe_with_gmv_fallback,specific,0.023702022445928707,
2020-05-31,maximum_sharpe_with_gmv_fallback,transaction_cost,-0.000615080523644351,
2020-05-31,maximum_sharpe_with_gmv_fallback,active_net_return,0.0054051120392149075,
2020-05-31,historical_joint_cvar,factor:MKT_RF,-0.004855016430755513,-0.2052810064188788
2020-05-31,historical_joint_cvar,factor:SMB,-0.0009056177759114482,0.06049276768695993
2020-05-31,historical_joint_cvar,factor:HML,-0.013065569831015261,-0.2170848600416888
2020-05-31,historical_joint_cvar,factor:RMW,-0.0005586495765603051,0.046320741964269566
2020-05-31,historical_joint_cvar,factor:CMA,-0.001671298418496501,-0.12172238910833913
2020-05-31,historical_joint_cvar,factor:MOM,0.002985157194000532,-0.16285334546457175
2020-05-31,historical_joint_cvar,specific,0.017011058524934335,
2020-05-31,historical_joint_cvar,transaction_cost,-1.9716096544265867e-05,
2020-05-31,historical_joint_cvar,active_net_return,-0.001079652410348423,
2020-05-31,benchmark_relative_constrained,factor:MKT_RF,-0.003547588130748168,-0.14999999942869935
2020-05-31,benchmark_relative_constrained,factor:SMB,-0.0015593276015899067,0.10415877963074135
2020-05-31,benchmark_relative_constrained,factor:HML,-0.0067011189252953055,-0.11133930496986255
